Wavelength	Mean_Ratio	DMean_Ratio	Mean_PDE (LN2)	DMean_PDE (LN2)
270	0.46	0.03	8.71	1.29
280	0.46	0.01	9.74	1.18
317	0.45	0.02	11.78	1.25
340	0.53	0.06	13.69	1.99
355	0.48	0.10	12.00	2.82
365	0.47	0.01	12.16	1.23
385	0.59	0.04	17.32	1.88
405	0.56	0.07	17.82	2.61
420	0.65	0.04	21.82	2.11
470	0.89	0.02	31.04	2.32
570	0.79	0.02	22.58	2.07
